FileTimestamp;Rows
2013-04-03;2027

SettlementStatus;PaymentType;PaymentMethod;TransactionID;UniqueID;ShortID;ChannelName;CustomerCountry;Valuedate;RequestTimestamp;Brand;Separator;Credit Trn Amount;Debit Trn Amount;Trn Ccy;Separator;Gross Funding Amount;Separator;Net Funding Amount;Funding Ccy;Separator;Total Fees;Fee Ccy;Settlement Account;Separator;Acq Fx;Separator;Settlement Fx;Separator;Settlement Amt;Settlement ccy
ACK;RI;RM;24315_moneybookerspsp_cc;8a8394853c6ce22e013c986ec1d95e5a;9654.4608.2834;USD;US ;2013-02-02;2013-02-02 01:04:20;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RF;CC;22799_moneybookerspsp_cc;8a8394873c6ce230013c9a39604e6366;0361.8544.8722;USD;US ;2013-02-02;2013-02-02 09:25:16;AMEX;2;1200;0;USD;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;22799_moneybookerspsp_cc;8a8394873c6ce230013c9a3961ff6370;8608.1916.9554;USD;US ;2013-02-02;2013-02-02 09:25:17;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;98079_moneybookerspsp_cc;8a8394903c6ce40e013c9a78d1ec14d0;7073.9152.9234;USD;US ;2013-02-02;2013-02-02 10:34:34;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;CF;CC;98079_moneybookerspsp_cc;8a8394903c6ce40e013c9a78d18414cb;3981.5388.3922;USD;US ;2013-02-02;2013-02-02 10:34:34;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RG;CC;98079_moneybookerspsp_cc;8a8394903c6ce40e013c9a78d10714c0;9479.0969.7810;USD;US ;2013-02-02;2013-02-02 10:34:34;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;DB;CC;24341_moneybookerspsp_cc;8a83948b3c6ce22e013c9a78ee801e02;0695.8888.5778;USD;US ;2013-02-02;2013-02-02 10:34:41;AMEX;2;0;4600;USD;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;24341_moneybookerspsp_cc;8a83948b3c6ce22e013c9a78f06f1e0e;8942.2260.6610;USD;US ;2013-02-02;2013-02-02 10:34:42;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RG;CC;98089_moneybookerspsp_cc;8a83948a3c6ce40d013c9a9f5b293720;8883.8413.5442;GBP;GB ;2013-02-02;2013-02-02 11:16:40;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;CF;CC;98089_moneybookerspsp_cc;8a83948a3c6ce40d013c9a9f5bc7372b;3386.2832.1554;GBP;GB ;2013-02-02;2013-02-02 11:16:40;AMEX;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;RI;RM;98089_moneybookerspsp_cc;8a83948a3c6ce40d013c9a9f5c833730;8196.6465.8706;GBP;GB ;2013-02-02;2013-02-02 11:16:40;TD;2;0;000;XXX;2;000;4;00000;;4;;;;6;;6;;2;;
ACK;DB;CC;24343_moneybookerspsp_cc;8a8394883c6ce40f013c9a9f77904541;1211.9560.2194;GBP;GB ;2013-02-02;2013-02-02 11:16:47;AMEX;2;0;1200;GBP;2;000;4;00000;;4;;;;6;;6;;2;;
